,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,np
930,1445531498413625355,1445531498413625355,2021-10-06 08:29:00 JST,2021-10-06,08:29:00,900,2382810302,arzdigdig,arz - ART THEATER -,,[ CM ] ART THEATER :マインドは80'sなレトロテクノ風でリフレインを軸にした広い意味での電子音楽で遊んでます。 #Spotify #Techno #Electro #Ambient #Soundscape #AppleMusic #youtube  https://t.co/Gr7g6li21U,ja,[],['https://open.spotify.com/artist/3KRBZbRlwG61qhpANS44Yo?si=Vpv_A_AAQU2_c9JWuzhEtA&nd=1'],[],0,0,0,"['spotify', 'techno', 'electro', 'ambient', 'soundscape', 'applemusic', 'youtube']",[],https://twitter.com/arzdigdig/status/1445531498413625355,False,,0,,,,,,,,[],,,,,-0.7314553333333333
934,1445503039024996359,1445503039024996359,2021-10-06 06:35:55 JST,2021-10-06,06:35:55,900,1290688445547868160,iihozcmhfdcmms8,あきもとやすしのセックス,,Spotifyでおすすめ教えて ラブホいきたいしDMくださいな？,ja,[],[],[],0,0,0,[],[],https://twitter.com/iIHozCMHfdCmmS8/status/1445503039024996359,False,,0,,,,,,,,[],,,,,-0.270302
943,1445404259277803524,1445404259277803524,2021-10-06 00:03:24 JST,2021-10-06,00:03:24,900,2336210318,aoooifuji,アオ,,Spotifyから、きのこのホクトのcm流れてきて懐かしさで爆死した,ja,[],[],[],0,0,0,[],[],https://twitter.com/aoooifuji/status/1445404259277803524,False,,0,,,,,,,,[],,,,,-0.6710026666666667
944,1445403698746769421,1445403698746769421,2021-10-06 00:01:10 JST,2021-10-06,00:01:10,900,1371092360717737988,habatake_bmsg,羽ばたけ(羽ちゃん),,Spotifyプレミアム会員じゃないから絶対CM来るねん,ja,[],[],[],0,0,0,[],[],https://twitter.com/habatake_bmsg/status/1445403698746769421,False,,0,,,,,,,,[],,,,,-0.5937652
948,1445392127068938254,1445392127068938254,2021-10-05 23:15:11 JST,2021-10-05,23:15:11,900,836947697252737024,tspomoa,トコ,,武富士のCM曲、Spotifyでも出てくるから帰りの車内でも爆笑だったよね。,ja,[],[],[],0,0,0,[],[],https://twitter.com/tspomoa/status/1445392127068938254,False,,0,,,,,,,,[],,,,,-0.4922155
957,1445353217219461125,1445353217219461125,2021-10-05 20:40:35 JST,2021-10-05,20:40:35,900,1009053319,wakkun0116,わっくん@天井穴あき,,あとSpotifyでよく聞いてる曲がCMに使われてるのを聞くのも新鮮,ja,[],[],[],0,0,0,[],[],https://twitter.com/wakkun0116/status/1445353217219461125,False,,0,,,,,,,,[],,,,,0.11198174999999999
960,1445339996634824706,1445339996634824706,2021-10-05 19:48:02 JST,2021-10-05,19:48:02,900,151089136,fat128,脂肪の盆踊り:Orgy of the FAT,,spotifyのCMが恋しい季節になってきましたね,ja,[],[],[],0,0,2,[],[],https://twitter.com/Fat128/status/1445339996634824706,False,,0,,,,,,,,[],,,,,-0.598562
963,1445274551735054350,1445274551735054350,2021-10-05 15:27:59 JST,2021-10-05,15:27:59,900,118041552,druoh,UO,,SpotifyにXfinityとかNationwideとかのCMが入ってきて、ここはGamepass内かと思ったｗ,ja,[],[],[],0,0,0,[],[],https://twitter.com/druoh/status/1445274551735054350,False,,0,,,,,,,,[],,,,,0.0
965,1445248782669541381,1445248782669541381,2021-10-05 13:45:35 JST,2021-10-05,13:45:35,900,196449632,shiz_kann,カン,,こないだ行った老舗のレコ屋の店内BGMがspotifyの無料版で頭が一瞬混乱した。 お馴染みのspotifyのCMが店内に流れてた。笑,ja,[],[],[],0,0,1,[],[],https://twitter.com/shiz_kann/status/1445248782669541381,False,,0,,,,,,,,[],,,,,-0.49997583333333334
966,1445247965132587008,1445247965132587008,2021-10-05 13:42:20 JST,2021-10-05,13:42:20,900,181765843,mahirororo,じょん,,SpotifyのCMは嫌いじゃ無いから無料版できたけど最近は某ジーンズのCMが多発。たまに2連発されてウザすぎ。有料会員になるか本気で迷う,ja,[],[],[],0,1,0,[],[],https://twitter.com/mahirororo/status/1445247965132587008,False,,0,,,,,,,,[],,,,,-0.27537798750000003
967,1445240578539548680,1445240578539548680,2021-10-05 13:12:59 JST,2021-10-05,13:12:59,900,1074985057012527104,shokunin72,飾人-shokunin-,,桑田佳祐の可愛いミーナ、CMでめちゃ良い曲だなぁと思って、You Tubeになくて、Spotifyにあった。なんでも見つかる今の時代、マジありがたい。そして、おかげで最高のランチタイム過ごせた〜（癒）  https://t.co/75IfEKMMFf,ja,[],[],['https://pbs.twimg.com/media/FA6GpaCVUAAxXOy.jpg'],1,0,0,[],[],https://twitter.com/shokunin72/status/1445240578539548680,False,,1,https://pbs.twimg.com/media/FA6GpaCVUAAxXOy.jpg,,,,,,,[],,,,,0.058446599999999994
968,1445232600323223553,1445232600323223553,2021-10-05 12:41:17 JST,2021-10-05,12:41:17,900,1424487783758909444,tommy3121910,トミー,,SpotifyのCMでウォルトディズニーワールド流すのマジやめてほしい😭  50周年とか行きたすぎるでしょ!!!,ja,[],[],[],0,0,1,[],[],https://twitter.com/tommy3121910/status/1445232600323223553,False,,0,,,,,,,,[],,,,,-0.6649205
971,1445213559399407616,1445213559399407616,2021-10-05 11:25:37 JST,2021-10-05,11:25:37,900,47619688,maryjoyrec,Mary Joy Recordings,,KMが出演しているSpotifyのデジタルCMが、渋谷のビジョンに登場！  AwichやLEXたちとの81秒のオリジナルトラックを　@SpotifyJP のプレイリスト+81 Connectで是非チェックしてください👇  https://t.co/GUGlWodXYo  @KM_music_  https://t.co/cqI2YDweIr,ja,"[{'screen_name': 'spotifyjp', 'name': 'spotify japan', 'id': '749773449459937280'}, {'screen_name': 'km_music_', 'name': 'km', 'id': '112138314'}]",['https://spoti.fi/81Connect'],[],0,4,23,[],[],https://twitter.com/maryjoyrec/status/1445213559399407616,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1445213534288187394/pu/img/OjcNhN8AGtJf0hYk.jpg,,,,,,,[],,,,,-0.2230534
